"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1935626;2575575;"";"Lennart";"DriveNow_13458009";"DIESEL";"NCB302";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935627;2021275;"";"Bambi";"DriveNow_13493339";"DIESEL";"M-DX5396";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935628;2574951;"";"Marilyn";"DriveNow_13360176";"PETROL";"M-DX5154";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935629;2507246;"";"2205 / W-27917F";"WME4533421K174950";"PETROL";"";"";"car2go";"car2go"
1935630;1357986;"";"B-GO3747";"WME4533421K037912";"PETROL";"";"";"car2go";"car2go"
1935631;1356436;"";"1647 / W-85549C";"WME4513341K833868";"PETROL";"";"";"car2go";"car2go"
1935632;1358308;"";"B-GO5212";"WDD1760421J477384";"PETROL";"";"";"car2go";"car2go"
1935633;2424606;"";"2339 / W-84776C";"WME4533421K173403";"PETROL";"";"";"car2go";"car2go"
1935634;1451219;"";"B-GO8731";"WME4533421K146978";"PETROL";"";"";"car2go";"car2go"
1935635;1355857;"";"B-GO8184";"WME4533421K086353";"PETROL";"";"";"car2go";"car2go"
1935636;2574557;"";"Alexej";"DriveNow_13329727";"PETROL";"YG16UZE";"MINI Cabrio";"DriveNow";"driveNow"
1935637;1357029;"";"S-GO2261";"WME4513901K657949";"ELECTRICITY";"";"";"car2go";"car2go"
1935638;1356208;"";"B-GO7033";"WME4533421K089509";"PETROL";"";"";"car2go";"car2go"
1935639;1435522;"";"B-GO3324";"WME4533421K149952";"PETROL";"";"";"car2go";"car2go"
1935640;1357139;"";"B-GO3566";"WME4533421K036393";"PETROL";"";"";"car2go";"car2go"
1935641;2575823;"";"Franni";"DriveNow_13389634";"DIESEL";"M-DX6257";"BMW 1er";"DriveNow";"driveNow"
1935642;2575018;"";"Aleksandrs";"DriveNow_13229513";"PETROL";"YB65GSO";"BMW 1er";"DriveNow";"driveNow"
1935643;2575204;"";"Liva (Child)";"DriveNow_13152749";"ELECTRICITY";"AV74886";"BMW i3";"DriveNow";"driveNow"
1935644;2574845;"";"Renata";"DriveNow_13487742";"DIESEL";"M-DX9234";"BMW 1er";"DriveNow";"driveNow"
1935645;2575584;"";"Xerxes";"DriveNow_13359066";"PETROL";"M-DX5384";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935646;1356639;"";"B-GO4958";"WME4533421K075039";"PETROL";"";"";"car2go";"car2go"
1935647;2574305;"";"Noni";"DriveNow_13413352";"PETROL";"1PKY444";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935648;2577738;"";"Daniela";"DriveNow_13487779";"DIESEL";"M-DX9206";"BMW 1er";"DriveNow";"driveNow"
1935649;2942581;"";"Valentina";"DriveNow_13571182";"DIESEL";"M-DX6894";"BMW 1er";"DriveNow";"driveNow"
