"id";"api_id";"description";"latitude";"longitude";"external_id";"operator";"provider"
311;34848;"";"53.457804";"9.994314";"SNH-DE_21079_Zum Handwerkszentrum_1_a1f9e624";"Vattenfall";"vattenfall"
312;34847;"";"53.54714";"9.964071";"SNH-DE_20359_Bernhard-Nocht-Strasse_99_4e27a6ce";"Vattenfall";"vattenfall"
313;34853;"";"53.549762";"9.953949";"SNH-DE_22767_Königstraße_4A_dc41f077";"Vattenfall";"vattenfall"
314;34789;"";"53.463009";"9.981628";"SNH-DE_21073_Schlossmühlendamm_23_6bfcb0f1";"Vattenfall";"vattenfall"
315;34832;"";"53.463805";"9.9702";"SNH-DE_21075_Schwarzenbergstraße_95_6edea869";"Vattenfall";"vattenfall"
316;34826;"";"53.466268";"9.986486";"SNH-DE_21079_Veritaskai_3_68e70f28";"Vattenfall";"vattenfall"
317;34794;"";"53.460619";"9.98337";"SNH-DE_21073_Großer Schippsee_18_e28df261";"Vattenfall";"vattenfall"
318;38794;"";"53.507891";"10.180407";"SNH-DE_21031_Bodestraße_1_cb33f8af";"Vattenfall";"vattenfall"
319;34837;"";"53.4935";"10.20089";"SNH-DE_21033_Ulmenliet_20_ea408b6c";"Vattenfall";"vattenfall"
320;32702;"";"53.4658854";"9.9877015";"B23";"Vattenfall";"vattenfall"
321;38799;"";"53.485806";"10.213129";"SNH-DE_21029_Neuer Weg_21_c6e7e4f1";"Vattenfall";"vattenfall"
322;38797;"";"53.486988";"10.218075";"SNH-DE_21029_Schulenbrooksweg_1_aa607e55";"Vattenfall";"vattenfall"
323;34804;"";"53.674787";"9.996345";"SNH-DE_22419_Essener Bogen_1_93a5f9e1";"Vattenfall";"vattenfall"
324;4639;"TOTAL-Tankstelle";"52.53084";"13.44102";"015036";"Vattenfall";"vattenfall"
325;4559;"Europa-Center";"52.5045517";"13.3408006";"015012";"Vattenfall";"vattenfall"
326;4626;"EUREF";"52.4801304";"13.3550252";"015027";"Vattenfall";"vattenfall"
327;4635;"";"52.53113";"13.38276";"015019";"Vattenfall";"vattenfall"
328;4611;"vor Mini";"52.5108049";"13.3897369";"015013";"Vattenfall";"vattenfall"
329;34791;"";"53.555485";"9.981444";"SNH-DE_20355_Dragonerstall_13_91b48aab";"Vattenfall";"vattenfall"
330;32727;"Unilever";"53.5394";"9.9914";"F9";"Vattenfall";"vattenfall"
331;32723;"Parkhaus";"53.54786";"9.9956";"F6";"Vattenfall";"vattenfall"
332;34838;"";"53.549675";"9.999197";"SNH-DE_22767_Kattrepel_20_c8252777";"Vattenfall";"vattenfall"
333;34780;"";"53.570304";"9.964881";"SNH-DE_20259_Hohe Weide_10_1543f5c7";"Vattenfall";"vattenfall"
334;40627;"";"53.461533";"9.980743";"SNH-DE_21073_Sand_13_a30f4ed7";"Vattenfall";"vattenfall"
335;32675;"";"52.46044";"13.323482";"015060";"Vattenfall";"vattenfall"
336;34795;"";"53.555269";"10.001099";"SNH-DE_20095_Glockengießerwall_26_0eea373c";"Vattenfall";"vattenfall"
337;38795;"";"53.488148";"10.210893";"SNH-DE_21029_Vierlandenstraße_10_ab4930ac";"Vattenfall";"vattenfall"
338;4625;"EUREF";"52.4801304";"13.3550252";"EBG_MSL_0004";"Vattenfall";"vattenfall"
339;4565;"Berlin Partner für Wirtschaft und Technologie GmbH";"52.5069504";"13.3283477";"Demo2";"Vattenfall";"vattenfall"
340;34851;"";"53.648386";"10.006262";"SNH-DE_22415_Krohnstieg_71_1f663f8c";"Vattenfall";"vattenfall"
341;34801;"";"53.584161";"10.021787";"SNH-DE_22222_Jarrestraße_10_76f2d14e";"Vattenfall";"vattenfall"
342;34796;"";"53.585581";"10.043033";"SNH-DE_22305_Poppenhusenstraße_2_9f8c679b";"Vattenfall";"vattenfall"
343;34850;"";"53.553342";"9.976922";"SNH-DE_20355_Holstenwall_12A_9b22bd5f";"Vattenfall";"vattenfall"
344;34816;"";"53.554793";"9.98806";"SNH-DE_20354_ABC-Straße_52_5dd8f402";"Vattenfall";"vattenfall"
345;34810;"";"53.58113";"9.969798";"SNH-DE_20259_Eppendorfer Weg_203_de5237fd";"Vattenfall";"vattenfall"
346;34800;"";"53.56392";"9.989072";"SNH-DE_20146_Moorweidenstrasse_22_6521fdb8";"Vattenfall";"vattenfall"
347;32685;"";"53.46596";"9.96308";"SNH-DE_21075_Nobleestrasse_3_d8fe129f";"Vattenfall";"vattenfall"
348;38793;"";"53.495595";"10.205528";"SNH-DE_21031_Lohbrügger Landstrasse_6_aeba9c84";"Vattenfall";"vattenfall"
349;34812;"";"53.45964";"9.9769";"SNH-DE_21073_Julius-Ludowig Strasse_32_0238ca55";"Vattenfall";"vattenfall"
